PERSONNM,VENDOR_NAME
LUZ-MARIA LAMBERT,FAMILY LIFE ACADEMY CHARTER SCHOOL
MARC FRIEDMAN,JEWISH COMM COUNCIL OF THE ROCKAWAY
NANCY LEE,THE INTERSCHOOL ORCHESTRAS OF NEW YORK
NATHAN YOUNGS,ONEONTA COMMUNITY CHRISTIAN SCHOOL
BARBARA DAMRON,STATE HIGHER EDUCATION EXECUTIVE OFFICER
CATHERINE R LUCEY MD,ASSOCIATION OF AMERICAN MEDICAL COLLEGES
COLIN B BAILEY,PIERPONT MORGAN LIBRARY
RICHARD L MENSCHEL,PIERPONT MORGAN LIBRARY
JAY LEE,NATIONAL JUNIOR COLLEGE ATHLETIC ASSOC
JAMES MCLAREN,BROOKLYN ACADEMY OF MUSIC
VERONICA WESTBERG,BROOKLYN ACADEMY OF MUSIC
MITCH KURZ,HARLEM CHILDRENS ZONE PROMISE ACADEMY II
MARY BETH CONROY,NATIONAL ASSOCIATION OF HEALTH DATA
MAUREEN CAVANAGH,MATERNITY & EARLY CHILDHOOD FOUNDATION
LAURA RANJI,HUDSON GUILD
GEORGE SCHARR,ROCHESTER WORKS INC
JEFFREY SPAR,METROPOLITAN MUSEUM OF ART
DEBRA S LIEGL,CHEEKTOWAGA ECONOMIC DEVELOPMENT
CATHY WEINSTEIN,ENVIRONMENTAL CENTERS SETAUKET
DR MARIA PALANDRA,GATEWAY YOUTH OUTREACH INC
KAY SAVIK,AMERICAN CRAFT COUNCIL
SCOTT SAPERSTON,NICHOLS SCHOOL
RUTH SALZMAN,PRIMARY CARE DEVELOPMENT CORP
JOSEPH GROSS,PESACH TIKVAH HOPE DEVELOPMENT INC
JANET NEUSTAETTER,THE CHILDRENS LAW CENTER
PETER E MILLET,MEHARRY MEDICAL COLLEGE
JOSEPH B NARUS,MANHATTANVILLE COLLEGE
MARK D GODLEY,CHESTNUT HEALTH SYSTEMS INC
ELIAZAR MENDIOLA,CHESTNUT HEALTH SYSTEMS INC
LUKE JUSTICE,INVICTUS PREPARATORY CHARTER SCHOOL
KENNETH LEE COLEMAN,THE HERREN PROJECT
DOMINIC VULPIS,NASSAU COUNTY SECTIION VIII
PAUL M CAPP,THE TRUSTEES OF ROANOKE COLLEGE
DANIEL DORNBAUM,BERNARD M BARUCH COLLEGE AUXILIARY
MR NORMAN C SELBY,CENTRAL PARK CONSERVANCY INC
MS KELLY C COFFEY,CENTRAL PARK CONSERVANCY INC
MRS ANNE S HARRISON,CENTRAL PARK CONSERVANCY INC
PAUL PONTIFF,ADIRONDACK CC FOUNDATION 791
DR VANDA B MCMURTRY,HARTFORD SEMINARY
ALFREDO ANGUIERA,BRONX OVERALL ECONOMIC DEVELOPMENT
JOHN MOORE,BRESCIA UNIVERSITY INC
LARK BUCKMAN,BRESCIA UNIVERSITY INC
ROSEMARY BUTTON,ERIE CANALWAY HERITAGE FUND INC
RHONDA CORR,COUNCIL OF THE GREAT CITY SCHOOLS
KRISTIN R MUENZEN,ITHACA COLLEGE
BENJAMIN G RIFKIN PROVOST,ITHACA COLLEGE
BOB STATON,BIG SOUTH CONFERENCE INCORPORATED
DEBRA BRAWLY,BOULEVARD NURSERY SCHOOL
MOFFY OLUWO,BOULEVARD NURSERY SCHOOL
MARK C NUCCIO,FIRE ISLAND LIGHTHOUSE PRESERVATION
CHRISTA LANE HOOPER,ARCADIA UNIVERSITY
WILLIAM S FRIEDMAN,FAITH MISSION ALCOHOL CRISIS CENTER INC
MICHAEL J SOFIA,UNIVERSITY OF THE SCIENCES IN PHILADELPH
KEITH DUNKLEY,TRINITY NURSERY SCHOOL & DAY CARE CENTER
ROBERT MEYER,HEIDELBERG UNIVERSITY
SUSAN FIOTO,STONY BROOK CHILD CARE SERVICES INC
CASSANDRA METZ,BROOKLYN PUBLIC LIBRARY
ANNE P ORSENE,HEARING EVALUTATIONS
JOHN IRISH,INTERNATIONAL TRUMPET GUILD
ELIZABETH O'KEEFE,WHITNEY ACADEMY INC
STEPHEN POTTS,WHITNEY ACADEMY INC
FISCHER MALINDA,OKLAHOMA MEDICAL RESEARCH FOUNDATION
LITTLE DAN,OKLAHOMA MEDICAL RESEARCH FOUNDATION
SHEILA SECK,ALPHAPOINTE
MARTIN PHILBERT,ASSOCIATION OF SCHOOLS AND PROGRAMS OF
DR ZARIF BACILIOUS,EIHAB HUMAN SERVICES INC
PATRICK GALLIVAN,COUNCIL FOR ADVANCEMENT & SUPPORT OF
DOROTHY M VAN BRAKLE,WILSON COLLEGE
DIETER BOGNER,NEW MUSEUM OF CONTEMPORARY ART
MICHAEL CUSHMAN,NIAGARA HOSPICE INC
PATRICH LIMBACH,UNIVERSITY OF CINCINNATI RESEARCH INSTIT
MARIA RIVERA,LOISAIDA INC
YOSEF WISSNER-LEVY,MEDICAL LETTER INC
BRENDA SHAPIRO,NATURE CONSERVANCY THE
JOSEPH H GLEBERMAN,NATURE CONSERVANCY THE
GREGORY GOULD,COMPUTERS FOR YOUTH FOUNDATION
URSULA OPPENS,CONCERT ARTISTS GUILD INC
RICHARD ROBERTS,HABITAT FOR HUMANITY NEW YORK CITY INC
FLOR COLON,YOUNG WOMENS COLLEGE PREP CHARTER
ALYSON BENNETT,PAUL SMITHS COLLEGE OF ARTS & SCIENCE
PAUL LEVINSOHN,SELFHELP COMMUNITY SERVICES
ALICE R PFEIFFER,LONGLEAF SERVICES INC
KEN COLE FORMER,AMERICAN SYMPHONY ORCHESTRA LEAGUE
PATRICK MCGRATH,LANSINGBURGH BOYS AND GIRLS CL UB INC
MICHAEL GRANDIS,THE URBAN DOVE INC
RICHARD SWIERAT,INTERAGENCY COUNCIL OF DEVELOPMENTAL
PAM MACKINNON,STAGE DIRECTORS AND CHOREOGRAPHERS
JOE CALARCO,STAGE DIRECTORS AND CHOREOGRAPHERS
SCOTT GRASMAN PHD,ROCHESTER ENGINEERING SOCIETY
FREDERIK OHLES,NEBRASKA WESLEYAN UNIVERSITY
JAN PERCIVAL,COOL CULTURE INC
TOMAS J ROSSANT,JOSE LIMON DANCE FOUNDATION
SUSAN FRIEDMAN,NATIONAL ASSOCIATION FOR THE EDUCATION
ISAURO ESCAMILLA CALAN,NATIONAL ASSOCIATION FOR THE EDUCATION
ANN LEE-KARLON,ASSOCIATION FOR WOMEN IN SCIENCE
AUBREY FOX,NEW YORK CITY CRIMINAL JUSTICE AGENCY
RON POLK,AMERICAN BASEBALL COACHES ASSOCIATION
KENICHI IWAMA,THE COLLEGE OF STATEN ISLAND AUXILIARY
DENISE BAUER,CATHOLIC CHARITIES COMMUNITY SERVICES OF
TALIA LOCKSPEISER,CATHOLIC CHARITIES COMMUNITY SERVICES OF
JOSEPH FRANCISCO,GORDON RESEARCH CONFERENCES
MICHEL FEHER,URZONE INC
DANIEL PEABODY,AMERICAN SCHOOL COUNSELOR ASSN
NINA ALAEVA,PROJECT LEAD INC
MARK SIWIEC,MONROE CC FOUNDATION
SERGIO ESTEBAN,MONROE CC FOUNDATION 808
LEONARD E REDON,MONROE CC FOUNDATION
FERDINAND J SMITH,ST JOHN FISHER COLLEGE
PHILIP M BERKOWITZ,SUNY NEW PALTZ FOUNDATION 831
ANDREW P SILVERMAN,NEIGHBORHOOD SELF HELP BY OLDER PERSONS
WARREN OTTEY,UNITED COMMUNITY CENTERS INC
CAROL CHRIST,SARAH LAWRENCE COLLEGE
RICHARD ARCHER,ROBERT MORRIS UNIVERSITY
ANNE NEMER DHANDA,ROBERT MORRIS UNIVERSITY
DERYA A JACOBS,ROBERT MORRIS UNIVERSITY
MICHAEL NISSAN ESQ,MENTAL HEALTH ASSOC OF NYC
COOPER SIRWATKA,LOFT THE LESBIAN & GAY COMMUNITY
CAROL PETRETTI,VALHALLA AMBULANCE CORPS INC
CHRIS BERNARD,AMBULANCE MED TECHNICIANS CHILDREN OF
CARA FINGER,RECREATIONAL BOATING & FISHING
JOHN BANNAN,EMIL FRIES PIANO HOSPITAL & TRAINING CT
PETER MONCZYNSKI,BRISTOL HOME INC
GARY HOUSE,CENTRAL SQUARE FIRE COMPANY NO ONE
CHRISTOPHER BYRD,ROCHESTER CHRISTIAN SCHOOL
PAUL HULL,ST LAWRENCE COUNTY FIRE TRAINING FACILIT
CHARLES LANDSBERG,JEWISH COMMUNITY COUNCIL OF PELHAM
J PETER ROBERTS,FRIENDS OF HISTORIC KINGSTON
BENJAMIN SLOTMAN,EAST CONCORD VOLUNTEER FIREDEPARTMENT
CHRISTOPHER RIVERA,BROCKPORT STUDENT GOVERNMENT
ELIZABETH TRAUB,PARENT TEACHER ASSOCIATION OF P S 59 INC
KELLY RAPONE,MEDINA RAILROAD MUSEUM
DEVIN MOODY,GARDEN CITY FIRE DEPARTMENT
ELLEN HARVEY,HARNESS RACING MUSEUM & HALL OF FAME
EDWARD DUVALL,DELAWARE OPPORTUNITIES INC
PATSI MAGARA,CATTARAUGUS ALLEGANY WORKFORCE INVESTMEN
PETER MAGNANI,FLUSHING WILLETS POINT CORONA LOCAL
ROB SOUTHERLAND,AGRICULTURAL STEWARDSHIP ASSOCIATION INC
LYNN SLOVIN,CHILDRENS CHOICE CHILDCARE INC
WENDI RICHARDS,ALUMNI ASSOCIATION SUNY COLLEGE OF
LAURA CRANDALL,ALUMNI ASSOCIATION SUNY COLLEGE OF
KERRIE HANNON,WOODBURY COMMUNITY AMBUL INC
JOSEPH FRATELLO,THE NIAGARA FALLS LITTLE THEATRE INC
BRENDA LINDAHL,NATIONAL ASSOCIATION OF SCHOOL NURSES
DAVID BOWERS,FACULTY STUDENT ASSOCIATION
BOB LOCKE,YOUNG MENS CHRISTIAN ASSOCIATION OF THE
ARUNPREET KAHLON MBBS,NEW YORK CHAPTER AMERICAN COLLEGE
COLLEEN CORCORAN,RESEARCH FOUNDATION FOR MENTAL HYGIENE
CAROL THOMPSON,PRAXIS INTERNATIONAL
DR JUDY LANGWORTHY,FACULTY-STUDENT ASSOCIATION OF SUC AT
STUART HEMPEL,BUFFALO AUDUBON SOCIETY INC
DAVID HAGERBAUMER,STUDENT ASSOCIATION OF BINGHAMTON
LEE DILLON,TOMPKINS COMMUNITY ACTION INC
JEFFREY ALBANESE,OLD MUSEUM VILLAGE OF SMITHS COVE
ANTHONY J PIAZZA ESQ,VOLUNTEER LEGAL SERVICES PROJECT OF
STEPHEN WOODERSON,COUNCIL OF STATE ADMINISTRATORS OF
DREW D GOEHMANN,OHIO NORTHERN UNIVERSITY
HONORABLE BENJAMIN H LOGAN II,OHIO NORTHERN UNIVERSITY
ROBERT HALLIDAY,UTICA COLLEGE
ANDREW CONROY,THE ROCHESTER CONTEMPORARY
KRISSY DEALEJANDRO,BOARD OF CONTROL FOR SOUTHERN REG ED
MARY AUSTIN,NATIONAL ASSOCIATION FOR THE EXCHANGE OF
NICOLE PEREIRA,THE ORGANIZATION OF ANCILLARY SERVICES
DICK FABEN,ROTARY CAMP ONSEYAWA
GARY RACKLIFFE,SGIP 2 0 INC
PETER PETTIT,NORTHEAST RECYCLING COUNCIL INC
PEIGE KATZ,GIRLS INC
JULIE BILLINGS,TOOMEY RESIDENTIAL & COMMUNITY SERVICES
STEVE AUSTIN,UNITED WAY OF CENTRAL NEW YORK INC 859
DOUGLAS HEALY,EAGLE ACADEMY FOUNDATION
ANN VAN INGEN,PRESERVATION LEAGUE OF NEW YORK STATE
BRENDA LENDER,ROCKLAND JEWISH ACADEMY
CARYN KAUFFMAN CPA,NATIONAL MARFAN FOUNDATION
JOANN BECK,LANDMARK SOCIETY OF WESTERN NY
DENISE MULKERN,MID ATLANTIC REGION COMMISSION ON HIGHER
STEPHEN ECKELBERRY,NATIONAL RECREATION AND PARK ASSOCIATION
KRISTINE SPENSIERI,AMERICAN CLASSICAL ORCHESTRA INC
RICHARD DOWNS,VILLA OF HOPE
DR ANN TOPPING,MONROE COMMUNITY COLLEGE ASSOCIATION INC
RICH ALLEN,PERINTON ECUMENICAL MINISTRIES INC
JAN SIEGMUND,LESBIAN & GAY COMMUNITY SERVICE CENTER
CAROL TELLES,WORKERS COMPENSATION RESEARCH INSTITUTE
STEVEN H BLOOM,THE FOUNDATION OF THE SUNY AT BINGHAMTON
ANNETTE CHOOLFAIAN RN,SCHUYLER CENTER FOR ANALYSIS & ADVOCACY
CARRI A PRUE,ESF COLLEGE FOUNDATION INC
THAYER MILLER,ESF COLLEGE FOUNDATION INC 847
CHRISTINE DOUGHERTY,BOYS & GIRLS CLUBS OF BUFFALO INC
DIANNE MORALES,HUMAN SERVICES COUNCIL OF NYC
KEVIN SULLIVAN,HUMAN SERVICES COUNCIL OF NYC
IRINA KARLOVA,SCHOOLNOVA AT STONY BROOK INC
CHRISTOPHER SARDONE,THE DAVID HOCHSTEIN MEMORIAL SCHOOL OF
BIRGITTA DICKERSON,MASS AUDUBONS DRUMLIN FARM
MARK SHOTTES,THE COLORADO SPRINGS SCHOOL
ROSEMARY EDWARDS,EMPLOYMENT PROGRAM FOR RECOVERED
JAMES IZZO,BELMONT DISTRICT MANAGEMENT ASSOCIATION
EDWIN KARJALA,PINKERTON ACADEMY
ANDREW ISENBERG,JEWISH COMM CTR OF GREATER BUFFALO
NICHOLE SEGRUE MS,WIB INC
SERGIO DAVILA,NORTHSIDE CHARTER HIGH SCHOOL
SARAH AW FITTS,THE SCENIC HUDSON LAND TRUST INC
CARLOS GONZALEZ,SCENIC HUDSON INC
DIANA KEENE,THE ROCHESTER SCHOOL OF THE HOLY
THOMAS H LAUER,AMERICAN BATTLEFIELD TRUST
MAUREEN MACDONALD,UNIVERSITY PROFESSIONAL & CONTINUING
CAMILLE GIBSON,ACADEMY OF CRIMINAL JUSTICE SCIENCES
LYNN STIEVATER CPA,BURCHFIELD-PENNEY ART CENTER
TIMOTHY P LYSTER ESQ,MONROE COUNTY BAR ASSOCIATION CENTER FOR
DIRK ANTONISSEN,EMPLOYEE ASSISTANCE PROFESSIONAL
DANIEL J WEST,COMMISSION ON ACCREDITATION OF
CHARLES MODLIN MD MBA,NATIONAL KIDNEY FOUNDATION OF UPSTATE NY
KIMBERLY WELLS,AMERICAN COUNCIL ON EXERCISE
STEVEN L REED,WATERSHED AGRICULTURAL COUNCIL OF
MARIA MACARTHUR,ROCKLAND CONSERVATORY OF MUSIC
NANCY HAGER,MUSIC BEFORE 1800 INC
SETH D FINKELL,SARATOGA SPRINGS PRESERV FNDN
DAVID BROCKWAY,GLOVE HOUSE INC
THOMAS BOYANOWSKI,GLOVE HOUSE INC
KAM WONG,MEDGAR EVERS COLLEGE EDUCATIONAL FDN
MARGARET YOUNG,ELMWOOD COMMUNITY PLAYHOUSE
SUE JONES,SKANEATELES EARLY CHILDHOOD CENTER INC
MARIN CLARKBERG,ASSOCIATION OF AMERICAN UNIVERSITIES
MARGARET MULLEY,AQUIFER INC
JON STRAUSS,COMMISSION ON INDEPENDENT COLLEGES AND
CRAIG PORGES,QUEENS BNAI BRITH HOUSING DEVELOPMENT
THOMAS H LEE,NEW YORK CITY POLICE FOUNDATION INC
MARY JEAN JAKUBOWSKI,WESTERN NY LIBRARY RESOURCES COUNCIL
DAVID STERN CFE,SERVICES NOW FOR ADULT PERSONS INC
JARRETT ALTILIO,UNIVERSITY AUXILIARY SERVICES INC
JANE HARRIS,COMMUNITY AGENCY FOR SENIOR CITIZENS INC
GENE SCHALLER,MULTI-STATE LOTTERY ASSOCIATION
ROSE HUDSON,MULTI-STATE LOTTERY ASSOCIATION
LISA KEATING,SHELTERS OF SARATOGA INC
MADELYN ROSS,WHITESTONE SCHOOL FOR CHILD DEVELOPMENT
ADAM M BREAULT,WILDWOOD PROGRAMS INC
ROKSOLANA GERAMITA,COMMUNITY FOUNDATIONS OF THE HUDSON
KRISTIN MILLER,DEAF ACCESS SERVICES INC
ANDREW PAVLOFF CPA,COMMUNITY FOUNDATION OF ORANGE COUNTY
BARRY LEWIS,COMMUNITY FOUNDATION OF ORANGE COUNTY
ALLEN MARMOR,GENERAL BUILDING LABORERS LOCAL 66
TIMOTHY SNYDER,NORTHEAST TRANSPORTATION TRAINING
ALI JAZINI-DORCHEN,RAZI SCHOOL
BARTLETT H STOODLEY,PBS LEARNING INSTITUTE
RICHARD W LIGHTY PHD,WILLIAMSON FREE SCHOOL OF MECHANICAL
MICHAEL PENFIELD,CLINTON COMM COLLEGE FNDTN
TINA LANE,PALMER TRINITY PRIVATE SCHOOL INC
ASHLEY SWARTZENBERG,STAFFORD FIRE DEPARTMENT
KIMBERLY REED,ALZHEIMERS DISEASE AND RELATED DISORDERS
DEREK VAN AMERONGEN,ALZHEIMERS DISEASE AND RELATED DISORDERS
JOHN WOLFGANG,PARENT EDUCATION PROGRAM INC
JOEL COPPERMAN,CENTER FOR ALTERNATIVE SENTENCING AND
JOAN KURIANSKY,BATTERED WOMENS JUSTICE PROJECT
THOMAS P HUMPHREY,SAINT DAVIDS SCHOOL
KELSEA HALLORAN,STUDENT ASSOCIATION OF STATE UNIV
NICOLE HAYNES,STUDENT ASSOCIATION OF STATE UNIV
GREGORY HEYMAN,EXODUS SCHOOL
JEFFERY FORSTER,SPORTS AND ARTS IN SCHOOLS FOUNDATION
DAVID R BOYER,HILLCREST EDUCATIONAL CENTERS INC
CARLOS R A JONES,ALLEYWAY THEATRE INC
VICKY-MARIE J BRUNETTE,ST MARYS SCHOOL FOR THE DEAF
MARSHALL J MCKIVER,PROJECT MORE INC
BISHOP ROBERT E FANNIN,FLORIDA SOUTHERN COLLEGE
ANTHONY SANTO,STATEN ISLAND AID FOR RETARDED CHILDREN
KRIOTA WILLBERG,DANCEWORKS INC
CAROL SHEESLEY,GOUVERNEUR AGRICULTURAL AND MECHANICAL
THOMAS P COGAN,SCHOOL OF MANAGEMENT ALUMNI ASSOCIATION
DR JENNIFER SESSLER,NEW YORK CHIROPRACTIC COLLEGE
MR JOHN PALMUCCI,NEW YORK CHIROPRACTIC COLLEGE
MR O ROBERT FREESEN,MACMURRAY COLLEGE
REV DR CAMILLA HEPSTEAD,MACMURRAY COLLEGE
BRENT KINDRED,SKILLS USA INC
JOEL ZBAR,JCC ROCKLAND INC
MEE KIM,MIDWEST YOUNG ARTISTS
BILL FISCHER,ASSOCIATION FOR STUDENT CONDUCT
SHERRY HUTLEY,INFINITY VISUAL & PERFORMING ARTS INC
PETER PALANCA,TASC INC
MARTHA SORENSEN,NATIONAL ORDER OF OMEGA
JOHN QUARTARARO,DUTCHESS DAY SCHOOL
CHRIS SURFLITA,GREECE LITTLE LEAGUE INC
NATALIA DELGADO,NEW YORK APPLESEED INC
MR RONALD TERENZI,SUNY/COLLEGE AT OLD WESTBURY 832
LINDA PETRIE,JEFFERSON COMMUNITY COLLEGE FOUNDATION
LINCOLN HOLLISTER,STERLING HILL MINING MUSEUM
MIKE GARLAND,EGYPT FIRE ASSOCIATION INC
CHRISTINE VACHONE,INDEPENDENT FEATURE PROJECT
AARON MCINTOSH,THE CENTER FOR CRAFT CREATIVITY AND
ANDREW LEVIN,CREATIVE ARTS WORKSHOPS FOR KIDS INC
MICHAEL VOLPE,NEW YORK STATE ASSOCIATION OF FIRE
SALEEM IQBAL,QUEENS BOROUGH COMMUNITY COLLEGE FUND
JOAN FORTUNATO,STATEN ISLAND CENTER FOR INDEPENDENT
VALORTO SOLL,TEENS FOR FOOD JUSTICE INC
DR MARGARET O'CONNOR,NATIONAL BUSINESS EDUCATION ASSOCIATION
LESLIE H STANFIELD,NATIONAL BUSINESS EDUCATION ASSOCIATION
THERESA BEACH KILMAN,JACOB BURNS FILM CENTER
STEVEN BERKENFELD,GREEN CITY FORCE INC
MARGARET CHURCHILL,WIA - ONT WYN SEN YATES WKFCE INVEST BD
JOHN C ROBINSON,ON THE BOARDS
SCOTT WITTMAN,LA MAMA EXPERIMENTAL THEATRE CLUB INC
CHRISTINE CASSIDY,BECKER COLLEGE
JOSEPH BAVARO,ART LEAGUE OF LONG ISLAND
DR EVAN GOLDFISCHER,BARDAVON 1869 OPERA HOUSE INC
TIMOTHY HURLEY,BARDAVON 1869 OPERA HOUSE INC
CHRIS CAMPBELL,MAGIC BOX PRODUCTIONS INC
JON VEGOSEN,INTERCOLLEGIATE TENNIS COACHES
NADIA MALIK,THE STATE UNIVERISTY COLLEGE AT
MATTHEW QUINT,MAKING BOOKS SING INC
STACEY DAMMANN,YORK COLLEGE OF PENNSYLVANIA
CAESAR ANDREWS,ACCREDITING COUNCIL ON EDUCATION IN
STEPHEN LAW,MORRISVILLE AUXILIARY CORPORATION AT
LIZABETHANN ROGOVOY EISEN,THE FRESH AIR FUND
WENDY WOLLNER,VOLUNTEER SERVICE BUREAU OF WESTCHESTER
DONALD A OGILVIE,THEODORE ROOSEVELT INAUGURAL SITE
BRUCE A KNIGHT,PLANNING ACCREDITATION BOARD
SUSAN LARSON,COUNCIL ON UNDERGRADUATE RESEARCH
ELIZABETH AMBOS,COUNCIL ON UNDERGRADUATE RESEARCH
MR RONALD LAWRENZ,SCIENCE MUSEUM OF MINNESOTA
LAUREN DOYLE,NATIVITY PREPARATORY ACADEMY ASSOCIATES
JEFF RICKEY,ST LAWRENCE UNIVERSITY
KATHLEEN B COOPER,NATIONAL BUREAU OF ECONOMIC RESEARCH INC
DONALD R FOHRD,SPECIALIZED EARLY CHILDHOOD CENTER OF
DR KOMLA DZIGBEDE,BROOME CC FOUNDATION
ALISON HALL,PENNSYLVANIA COALITION AGAINST RAPE
HEATHER PACHKOSKI,PENNSYLVANIA COALITION AGAINST RAPE
DAN COHEN,COUNCIL ON LIBRARY AND INFORMATION
LINDA BRILL,JEWISH COMMUNITY CENTER OF STATEN ISLAND
MARJORIE STEINBERG,JEWISH COMMUNITY CENTER OF STATEN ISLAND
SR DENISE A ROCHE THRU 63016,DYOUVILLE COLLEGE
DONALD KIMMEL,CHAUTAUQUA WATERSHED CONSERVANCY INC
VERONICA O'SHEA TUCKER,NEW YORK ROAD RUNNERS INC
TAMARA A STECKLER,THE LEGAL AID SOCIETY
MARK FOX,UNIVERSITY OF GEORGIA ATHLETIC
JASON VERDUGO,HAMLINE UNIVERSITY
MR LEWIS GARRISON,LINDSEY WILSON COLLEGE
MR JOHN GORRELL,LINDSEY WILSON COLLEGE
JOHN ADAMS,WOODS HOLE RESEARCH CENTER
JAMES MAXWELL,SIGMA BETA DELTA
SAMUEL VELASQUEZ,FAMILY LIFE ACADEMY CHARTER SCHOOL
WILLIAM ULLMER,THE INTERSCHOOL ORCHESTRAS OF NEW YORK
T RICHARD FITZGERALD,YONKERS PARTNERS IN EDUCATION
JAMES PYRA,NIAGARA COMMUNITY ACTION PROGRAM INC
PHILIP TEPLITZKY,JEWISH FAMILY SERVICE OF ROCKLAND COUNTY
HOLLY DICKINSON,BUFFALO PRENATAL-PERINATAL NET WORK INC
SHARON WORTHING VAINO,COLONIAL DAMES OF AMERICA
CAROL CARR,SOURCEAMERICA
JONATHAN AUERBACH,BROOKLYN ACADEMY OF MUSIC
THOMAS CUNNINGHAM,FUTURE LEADERS INSTITUTE CHARTER SCHOOL
JACK JAFFA,CAMP OHEL INC
BRIAN QUINN,SAINT LEO UNIVERSITY
MARY B ARNHEITER PALAZZO,SAINT LEO UNIVERSITY
THOMAS YEAGER,COLONIAL ATHLETIC ASSOCIATION
DEBRA MORGAN,GIRL SCOUTS OF NY PENN PATHWAYS INC
TIMOTHY SHORTSLEEVE,WIA - MONROE ROCHESTER WORKS INC
JAMES NORMAN,ROCHESTERWORKS INC
BARBARA D BOEHM,METROPOLITAN MUSEUM OF ART
CHARLES INGRAM,STOCKTON AFFILIATED SERVICES INC
BRIAN TORTORA,BEACON VVOLUNTEER AMBULANCE CORPS INC
LINDA DIBRITA,BEACON VVOLUNTEER AMBULANCE CORPS INC
CONSTANCE BAYNE,NATIONAL SAFETY COUNCIL
DOLORES DEVITO,ROSA LEE YOUNG CHILDHOOD CENTER
LILLIAN NEGRON-FOCER,ROSA LEE YOUNG CHILDHOOD CENTER
KEN GIRARDINI,AMERICAN CRAFT COUNCIL
MARGARET BARRY,WESTCHESTER EXCEPTIONAL CHILDREN INC
HENRY SALMON,CHILDREN AT PLAY EARLY INTERVENTION
MICHAEL ROSEN,PRIMARY CARE DEVELOPMENT CORP
RICHARD D'ALBERT,ST LUKES SCHOOL
CHRIS ROBERTS,YOUNG LIFE LAKE CHAMPION
HOWARD YARUSS,TRANSPORTATION ALTERNATIVES INC
MAURA MOREY,MANHATTANVILLE COLLEGE
BETHANY MENZIES,GINA GIBNEY DANCE INC
MEGAN STAFFORD,NATIONAL PARKS OF NEW YORK HARBOR
STEFANOS J MARCOPOULOS,ALUMNI ASSOCIATION OF THE STATE UNIVERSI
LINDA ACKER,NORTH COUNTRY CHILDRENS MUSEUM INC
MARJORIE ALTSCHULER,THE CENTER FOR ARTS EDUCATION
ANTHONY GUIDA JR,ORAL ROBERTS UNIVERSITY
LAURA MCMULLIN,THE CHILDRENS CENTER AT FARMINGDALE
LLOYD METZ,BROOKLYN BOTANIC GARDEN CORPORATION
PAUL MILLER,NORTHEAST STATES FOR COORDINATED AIR USE
MARY ANN FRIBOURG,GROUP I ACTING COMPANY INC
ALBERTO CARVALHO,COUNCIL OF THE GREAT CITY SCHOOLS
DAN KWON,BROOKLYN COLLEGE ASSOCIATION INC
PAUL SHEIFFELE,LONG ISLAND HIGH TECHNOLOGY INCUBATOR
MARC C GANN,NASSAU BAR FOUNDATION INC
SUZY GOLDHIRSH,FIRE ISLAND LIGHTHOUSE PRESERVATION
LINDA WILSON,SKY LIGHT CENTER
FRANK N NEWMAN,CARNEGIE HALL CORPORATION
NINA COLLINS,BROOKLYN PUBLIC LIBRARY
MARY GARRETT,AMERICAN MARKETING ASSOCIATION
STEPHEN MOCK,ALPHAPOINTE
ROGER OLIVER,JOB PATH INC
ERICA BROMAN,COUNCIL FOR ADVANCEMENT & SUPPORT OF
WILLIAM KING,FIGURE SKATING IN HARLEM
ROBERT BLOOM,JOHN CARROLL UNIVERSITY
RICHARD E MAROUN,JOHN CARROLL UNIVERSITY
DOUGLAS MCCURRY,ACHIEVEMENT FIRST BROWNSVILLE
KRISTIN GIANTRIS,DOWNTOWN ART COMPANY INC
BRIAN B FRAIN SJ,CANISIUS COLLEGE OF BUFFALO
SCHWERIN KATHRYN A,CENTER FOR HEARING AND COMMUNICATION
GEOFFREY M PEARSON,MCDANIEL COLLEGE
JOSH MCKENZIE,NATIONAL ORIENTATION DIRECTORS
JOY CABASSO,SEPHARDIC COMMUNITY YOUTH CENTER INC
BARRY BABICH,SEPHARDIC COMMUNITY YOUTH CENTER INC
HAROLD SHERR,SEPHARDIC COMMUNITY YOUTH CENTER INC
PHILIP TABAS,NATURE CONSERVANCY THE
MICHAEL TETREAULT,NATURE CONSERVANCY THE
PER ERIK GYLFE,INTERNATIONAL CENTER OF PHOTOGRAPHY
VICTOR F QUINONES,INTERNATIONAL CENTER OF PHOTOGRAPHY
KELLY HALL-TOMPKINS,CONCERT ARTISTS GUILD INC
FRANK VASSALLO,UNITED WAY OF THE SOUTHERN TIER
WILLIAM STEPHAN,INDIANA UNIVERSITY RESEARCH & TECHNOLOGY
THOMAS BURISH,CENTER FOR RESEARCH LIBRARIES
AMY HOSFORD-SWAN,INSTITUTE FOR HEALTHCARE IMPROVEMENT
SCOTT DRASSINOWER,SELFHELP COMMUNITY SERVICES
MICHAEL CAMARELLA,THE GENESEO FOUNDATION INC
MARIAN GODFREY,AMERICAN SYMPHONY ORCHESTRA LEAGUE
MICHAEL SMITH,INTERAGENCY COUNCIL OF DEVELOPMENTAL
SCOTT J HOUGHTALING,CATHOLIC CHARITIES OF THE DIOCESE OF
ANDREA HOLLINGSWORTH,GWYNEDD MERCY UNIVERSITY
ELIZABETH GUEST,LAKE GEORGE LAND CONSERVANCY INC
JOHN KELTON,MCMASTER UNIVERSITY
